id_client,type_client,secteur_activite,taille_entreprise,statut_juridique,annee_creation,anciennete_relation_ifc,score_risque_pays,diversification_geographique,exposure_externe,pays_implantation,region,ville,zone_urbaine_rurale,indice_developpement_local,accessibilite_infrastructure,risque_climatique_local,risque_securitaire,dynamisme_economique_local,distance_centre_economique,exposition_risque_naturel,distance_hub_logistique,indice_conflit_local,chiffre_affaires,croissance_ca,stabilite_revenus,diversification_revenus,ratio_revenus_ifs,marge_brute,marge_operationnelle,ebitda,resultat_net,roe,roa,marge_net_operating,total_actifs,total_passifs,ratio_endettement,ratio_autonomie_financiere,levier_financier,ratio_liquidite_generale,ratio_liquidite_immediate,fonds_roulement,BFR,tresorerie_nette,liquidite_immediate_ajustee,encours_dette,service_dette,DSCR,capacite_endettement,maturite_dette,montant_moyen_transaction,frequence_transactions,revenus_recurrents,charges_recurrentes,solde_moyen,volatilite_solde,incidents_paiement,retards_paiement,nb_incidents,duree_relation_banque,utilisation_decouvert,taux_transactions_digitales,score_maturite_digitale,adoption_mobile_banking,score_innovation,risque_sectoriel,cyclicite_secteur,concurrence_marche,exposition_choc_eco,type_intervention_ifc,exposition_ifc,part_ifc_dans_financement,categorie_esg_ifc,impact_environnemental,gestion_risques_env,plan_reduction_carbone,impact_social,respect_normes_travail,inclusion_genre,taux_femmes_cadres,politique_sante_securite,qualite_management,transparence_financiere,structure_conseil,risque_corruption,code_ethique,score_gouvernance_ifc,stabilite_pays,croissance_pays,inflation,taux_change_risque,volatilite_devise,croissance_local,probabilite_defaut,perte_en_cas_defaut,exposition_defaut,score_credit,classe_risque
1,Institution_financiere,Education,PME,SAS,2013,15,0.29,10,0.08,Bangladesh,Ouest,Porto-Novo,Urbain,0.48,0.97,0.19,0.23,0.62,76,0.31,8,0.32,3223182,0.04,0.44,8,0.14,0.24,0.25,991611,91337,0.02,0.05,0.36,11612206,8651971,0.22,0.33,4.29,2.85,1.48,33664,152492,884760,133353,1371611,432326,1.56,0.99,1,8845,43,41356,54093,495888,0.54,0,2,1,17,0.4,0.69,0.27,0.84,0.73,0.05,0.05,0.22,0.01,Equity,3533321,0.19,C,0.34,0.39,0,0.32,0.12,0.4,0.01,0.18,0.43,0.32,0.21,0.51,0,0.08,0.08,0.027,0.072,0.48,0.17,0.05,0.43,0.44,1517361,0.531,Moyen
2,Secteur_public,Industrie,TPE,SARL,1995,1,0.19,9,0.07,Morocco,Nord,Kyiv,Rural,0.87,0.56,0.34,0.25,0.54,53,0.4,197,0.38,871230,0.01,0.74,6,0.25,0.2,0.31,1489445,-46343,-0.17,-0.02,0.48,4771529,7416988,1.68,0.77,3.67,2.16,0.24,114928,385096,264332,127002,2789439,169494,1.88,0.77,9,5507,25,59684,41578,236617,0.31,1,1,7,6,0.34,0.49,0.75,0.6,0.48,0.21,0.58,0.14,0.16,PPP,1445527,0.2,A,0.28,0.49,0,0.32,0.32,0.25,0.44,0.18,0.36,0.47,0.04,0.31,1,0.16,0.08,0.026,0.059,0.25,0.45,0.04,0.08,0.33,4981507,0.30700000000000005,Faible
3,Fonds,Tech,Grande,SARL,2001,17,0.17,1,0.2,Chile,Ouest,Kyiv,Urbain,0.88,0.86,0.36,0.22,0.78,31,0.05,107,0.56,5587764,-0.02,0.64,1,0.24,0.03,0.22,1419456,279779,0.14,-0.0,0.06,17671810,5644160,0.98,0.5,3.7,1.38,1.22,248262,461256,255300,187827,3129265,342417,2.03,0.86,8,5051,4,87613,27860,468064,0.22,1,0,1,5,0.65,0.72,0.27,0.87,0.65,0.22,0.22,0.34,0.5,Pret,2140431,0.77,C,0.61,0.08,0,0.12,0.21,0.2,0.27,0.4,0.42,0.16,0.05,0.32,1,0.05,0.24,0.04,0.035,0.2,0.44,0.05,0.21,0.53,3510498,0.454,Moyen
4,Secteur_public,Finance,PME,SARL,2011,9,0.15,8,0.28,Thailand,Ouest,Beijing,Rural,0.11,0.73,0.62,0.14,0.69,23,0.05,29,0.01,5617495,-0.0,0.11,5,0.26,0.32,0.09,513315,456083,-0.06,-0.09,0.53,15638452,13079234,1.66,0.06,1.48,0.73,1.0,90025,361247,577555,49070,1809509,125632,1.76,0.82,4,9294,33,34106,92068,287101,0.34,1,2,7,11,0.05,0.42,0.06,0.73,0.3,0.47,0.15,0.39,0.41,Equity,3069163,0.37,FI,0.18,0.07,1,0.34,0.48,0.54,0.03,0.2,0.36,0.37,0.8,0.1,0,0.42,0.05,0.028,0.06,0.29,0.05,-0.01,0.08,0.43,2921978,0.28500000000000003,Faible
5,Secteur_public,Sante,TPE,SA,2017,16,0.41,1,0.35,South Africa,Sud,Accra,Rural,0.6,0.57,0.34,0.39,0.75,72,0.13,115,0.3,3797613,-0.02,0.38,8,0.01,0.57,0.18,733330,362639,0.04,0.11,0.28,17443567,13341881,1.4,0.29,2.35,1.75,0.5,89508,-34756,563838,206491,3766347,185866,1.23,0.29,9,5566,34,10591,91969,26923,0.77,1,0,3,11,0.34,0.57,0.6,0.62,0.76,0.24,0.1,0.41,0.54,PPP,3230214,0.34,FI,0.28,0.35,0,0.34,0.07,0.32,0.15,0.27,0.35,0.16,0.59,0.43,1,0.24,0.04,0.007,0.074,0.45,0.37,0.05,0.24,0.6,2798461,0.452,Moyen
6,Projet_SPV,Tech,TPE,SARL,1987,12,0.25,13,0.21,Ukraine,Est,Porto-Novo,Rural,0.34,0.16,0.16,0.48,0.56,65,0.16,138,0.41,6433115,-0.03,0.69,1,0.19,0.24,0.15,1730447,394988,-0.17,-0.07,0.4,6410066,1115089,0.88,0.96,3.17,2.4,1.79,359630,345205,884134,260218,3775216,305139,1.04,0.17,9,5670,31,74160,14909,288402,0.49,1,0,2,1,0.16,0.06,0.27,0.71,0.73,0.11,0.07,0.09,0.23,PPP,118299,0.21,FI,0.27,0.11,1,0.28,0.4,0.05,0.09,0.56,0.28,0.25,0.11,0.12,0,0.36,0.32,-0.004,0.047,0.39,0.53,0.01,0.28,0.27,4170242,0.34900000000000003,Faible
7,Fonds,Finance,Grande,SARL,1987,17,0.36,14,0.05,Kenya,Ouest,Manila,Rural,0.24,0.19,0.2,0.09,0.44,55,0.35,184,0.59,2477667,-0.01,0.77,1,0.24,0.38,0.22,605912,992153,0.15,-0.09,0.32,17124743,7762583,1.13,0.53,2.22,2.58,1.75,283508,-49098,20049,483522,1360209,462931,2.17,0.94,1,4419,91,57409,1827,115097,0.25,0,0,3,8,0.07,0.23,0.62,0.44,0.37,0.25,0.45,0.28,0.11,Pret,2880200,0.26,B,0.43,0.33,0,0.34,0.16,0.2,0.61,0.17,0.32,0.43,0.31,0.31,1,0.3,0.12,0.023,0.025,0.31,0.24,0.05,0.42,0.33,4245745,0.44899999999999995,Moyen
8,Fonds,Finance,PME,SA,1985,12,0.42,5,0.23,Ghana,Sud,Dakar,Urbain,0.38,0.68,0.27,0.27,0.35,99,0.67,114,0.3,9384463,0.25,0.1,3,0.44,0.38,0.09,1603679,323606,0.07,0.04,0.32,15343671,2940259,2.46,0.83,3.97,1.85,1.64,404508,163779,227877,-22043,1564020,459505,2.78,0.06,2,5499,95,61502,82955,145328,0.74,1,0,5,19,0.15,0.65,0.81,0.49,0.42,0.27,0.38,0.28,0.27,Pret,2531086,0.36,B,0.54,0.39,0,0.67,0.36,0.07,0.26,0.14,0.37,0.33,0.44,0.14,0,0.31,0.16,0.036,0.045,0.44,0.29,0.03,0.19,0.36,381184,0.34099999999999997,Faible
9,Fonds,Infrastructure,PME,SA,1993,16,0.4,10,0.16,South Africa,Sud,Abuja,Rural,0.28,0.65,0.05,0.49,0.62,79,0.17,108,0.33,4277996,-0.01,0.73,1,0.31,0.3,0.2,1631993,748955,0.25,0.04,0.45,17245833,7029730,2.64,0.22,2.95,2.99,1.75,398310,484405,868631,36186,3889104,307475,2.67,0.57,3,2090,47,98627,64568,43927,0.2,0,3,1,1,0.61,0.26,0.64,0.28,0.18,0.3,0.17,0.04,0.38,Pret,4959486,0.21,B,0.37,0.27,0,0.37,0.19,0.03,0.25,0.37,0.11,0.5,0.19,0.27,0,0.2,0.31,0.043,0.072,0.18,0.38,0.05,0.24,0.52,4267503,0.43600000000000005,Moyen
10,Secteur_public,Sante,Grande,Public,2011,4,0.19,8,0.38,Ukraine,Sud,Nairobi,Rural,0.32,0.5,0.35,0.79,0.54,92,0.23,73,0.49,66566,0.08,0.21,6,0.47,0.21,0.35,1551064,-18625,-0.1,0.1,0.12,19037416,13949644,0.93,0.81,2.99,1.63,1.87,477749,47346,274195,38915,4825794,478495,2.0,0.34,8,6595,89,95983,15261,357711,0.31,0,1,0,4,0.75,0.74,0.07,0.96,0.54,0.1,0.29,0.2,0.18,PPP,2461093,0.03,A,0.1,0.57,0,0.27,0.38,0.51,0.19,0.17,0.39,0.42,0.23,0.19,1,0.32,0.2,0.026,0.046,0.42,0.1,0.06,0.31,0.75,1528021,0.516,Moyen
